idx,N,opt_cost,sol_cost_est,gap_percent,time_s,time_limit_s,loop_max,max_no_improve,k,top_k,perturb,perturb_interval,error
0,835,25.639454939911587,22.179250823780094,-13.495622758911207,10.182911157608032,10.0,1000,80,100,5,double_bridge,80,
1,1110,29.96759206158337,25.176712550512242,-15.986868418476451,10.02061414718628,10.0,1000,80,100,5,double_bridge,80,
2,1137,30.27401515708291,25.927819143189257,-14.356192897911058,10.010865449905396,10.0,1000,80,100,5,double_bridge,80,
3,1065,29.60700176731297,25.170375489254674,-14.985057632402565,10.007201194763184,10.0,1000,80,100,5,double_bridge,80,
4,1146,31.426699863810132,26.16019927842492,-16.758045255174657,10.052250623703003,10.0,1000,80,100,5,double_bridge,80,
5,1070,29.219647755815597,25.463220300304485,-12.855827308060096,10.024580240249634,10.0,1000,80,100,5,double_bridge,80,
6,1173,30.590023587481106,25.78966064554896,-15.692576791266955,10.010470628738403,10.0,1000,80,100,5,double_bridge,80,
7,1060,29.02100417746278,24.805132734263008,-14.526966115368756,10.047295570373535,10.0,1000,80,100,5,double_bridge,80,
8,1036,29.968413178996997,24.68011626713704,-17.646235989452375,10.073604345321655,10.0,1000,80,100,5,double_bridge,80,
9,1028,29.073783524401787,24.962820578004955,-14.13975908208327,10.061412572860718,10.0,1000,80,100,5,double_bridge,80,
10,1126,31.557835065203903,25.87032785884397,-18.022488534490932,10.004761934280396,10.0,1000,80,100,5,double_bridge,80,
11,1117,31.408833340759003,25.887501107819315,-17.578915374022174,10.02550220489502,10.0,1000,80,100,5,double_bridge,80,
12,1045,30.316170045263405,25.105681255557453,-17.187160455712114,10.060240268707275,10.0,1000,80,100,5,double_bridge,80,
13,1047,29.734590522508476,24.352545322965536,-18.100283558533757,10.029013395309448,10.0,1000,80,100,5,double_bridge,80,
14,1164,30.78956523969493,26.08635886550559,-15.275325707184095,10.004887580871582,10.0,1000,80,100,5,double_bridge,80,
15,1040,30.862282842367645,24.8973657841313,-19.327530269561677,10.0619637966156,10.0,1000,80,100,5,double_bridge,80,
16,1171,30.925549583088078,25.932123421166192,-16.146604439497448,10.05431866645813,10.0,1000,80,100,5,double_bridge,80,
17,1106,29.313635470187528,25.581524428528137,-12.731655360369787,10.039447546005249,10.0,1000,80,100,5,double_bridge,80,
18,833,27.512801363238832,22.648613098731236,-17.679727339604433,9.21541428565979,10.0,1000,80,100,5,double_bridge,80,
19,1031,29.199732888247674,24.76971343635207,-15.171438275993953,10.057814359664917,10.0,1000,80,100,5,double_bridge,80,
20,933,27.198653796007704,23.037258552754444,-15.300004457809157,10.045768022537231,10.0,1000,80,100,5,double_bridge,80,
21,1068,29.991595367449992,25.21458295187717,-15.927836972478415,10.030033111572266,10.0,1000,80,100,5,double_bridge,80,
22,1144,30.405257792575846,25.879859234907727,-14.883605291362144,10.019815921783447,10.0,1000,80,100,5,double_bridge,80,
23,1085,30.257951282396018,25.30082100759625,-16.38290123655467,10.070216417312622,10.0,1000,80,100,5,double_bridge,80,
24,997,29.12140577826722,24.07054605842287,-17.344148006803007,10.004917621612549,10.0,1000,80,100,5,double_bridge,80,
25,1038,29.559735617662575,24.770519429569948,-16.201823487321608,10.052643060684204,10.0,1000,80,100,5,double_bridge,80,
26,890,27.480235550996134,22.50399951001406,-18.108418436761497,9.839630365371704,10.0,1000,80,100,5,double_bridge,80,
27,941,28.28849170423113,23.546204667080527,-16.764015157588965,10.004324674606323,10.0,1000,80,100,5,double_bridge,80,
28,1093,31.11681393615259,25.581879590479566,-17.787599839205726,10.05591893196106,10.0,1000,80,100,5,double_bridge,80,
29,1060,28.92036144386895,25.056727144601055,-13.35956435664456,10.075685977935791,10.0,1000,80,100,5,double_bridge,80,
30,1054,30.58302918589573,25.326209305181663,-17.188682810852505,10.004017114639282,10.0,1000,80,100,5,double_bridge,80,
31,1154,32.065456125140706,26.507552496556187,-17.3329941320463,10.085272550582886,10.0,1000,80,100,5,double_bridge,80,
32,990,29.168807765129266,24.201123345626613,-17.03081065055193,10.026069164276123,10.0,1000,80,100,5,double_bridge,80,
33,836,26.025116719309853,22.17861115787058,-14.77997429531327,9.439812421798706,10.0,1000,80,100,5,double_bridge,80,
34,888,28.08454527345165,23.143107664764003,-17.59486422362976,8.729186296463013,10.0,1000,80,100,5,double_bridge,80,
35,835,26.567560724613667,22.375195851569497,-15.780014268152698,10.007620334625244,10.0,1000,80,100,5,double_bridge,80,
36,1077,30.309490449115007,25.240111138289194,-16.725386127280906,10.00545358657837,10.0,1000,80,100,5,double_bridge,80,
37,836,27.229898500903207,22.41087577110475,-17.697542022195243,10.005882263183594,10.0,1000,80,100,5,double_bridge,80,
38,1176,31.54644337516214,26.210154254526202,-16.915660054525915,10.071210622787476,10.0,1000,80,100,5,double_bridge,80,
39,1047,30.499454934715608,25.044040846063552,-17.88692322642954,10.059975147247314,10.0,1000,80,100,5,double_bridge,80,
40,815,26.99636117154296,21.87900994451507,-18.95570738037883,10.024527788162231,10.0,1000,80,100,5,double_bridge,80,
41,1184,31.69435404244006,26.31199155752439,-16.982086076619396,10.047513246536255,10.0,1000,80,100,5,double_bridge,80,
42,838,26.8984299344676,22.341566343049543,-16.94100214220645,8.350944519042969,10.0,1000,80,100,5,double_bridge,80,
43,881,29.27613212996351,22.903345215852596,-21.7678581508672,10.040152072906494,10.0,1000,80,100,5,double_bridge,80,
44,1077,29.853391934894358,25.199879161332472,-15.587886239896886,10.072662830352783,10.0,1000,80,100,5,double_bridge,80,
45,1137,31.075339333569747,25.777373476971313,-17.048778775120898,10.003723859786987,10.0,1000,80,100,5,double_bridge,80,
46,1041,29.218280977631892,24.693800003385554,-15.485103239680875,10.061447143554688,10.0,1000,80,100,5,double_bridge,80,
47,921,28.899206180121936,23.438515119423677,-18.895643799566887,9.408077478408813,10.0,1000,80,100,5,double_bridge,80,
48,1184,32.3376516705894,26.628173507382183,-17.655821830748152,10.024812698364258,10.0,1000,80,100,5,double_bridge,80,
49,804,25.742013322587106,22.078727277574593,-14.230767419416235,7.228703260421753,10.0,1000,80,100,5,double_bridge,80,
50,863,27.70298708989035,22.856203612163597,-17.495526608737034,8.831923723220825,10.0,1000,80,100,5,double_bridge,80,
51,900,27.683137134733833,23.36204067515932,-15.609128541117778,10.00352430343628,10.0,1000,80,100,5,double_bridge,80,
52,907,26.998624665563515,22.84175987598147,-15.396579792762877,10.003256559371948,10.0,1000,80,100,5,double_bridge,80,
53,941,27.391741041757193,23.61037582407255,-13.80476404154144,10.0315842628479,10.0,1000,80,100,5,double_bridge,80,
54,873,27.334341657114745,23.099165255279303,-15.493976240445084,10.052520275115967,10.0,1000,80,100,5,double_bridge,80,
55,1003,30.398588580016767,24.36494097460972,-19.848446547197284,10.0070161819458,10.0,1000,80,100,5,double_bridge,80,
56,1114,31.192973476296604,25.851577389130362,-17.123715670213823,10.012580394744873,10.0,1000,80,100,5,double_bridge,80,
57,1154,29.614307997187492,25.897204645685495,-12.551714366768307,10.056777715682983,10.0,1000,80,100,5,double_bridge,80,
