idx,N,opt_cost,sol_cost_est,gap_percent,time_s,time_limit_s,loop_max,max_no_improve,k,top_k,perturb,perturb_interval,error
0,100,7.68771425883794,7.721300542861254,0.4368825751386751,0.37508511543273926,10.0,1000,80,100,5,double_bridge,80,
1,100,8.42171125554211,8.480886719151,0.7026536746904899,0.16747331619262695,10.0,1000,80,100,5,double_bridge,80,
2,100,7.932177977255744,7.938162553416376,0.0754468215134807,0.1611316204071045,10.0,1000,80,100,5,double_bridge,80,
3,100,7.561385850620926,7.59885636731296,0.4955509139763947,0.17500901222229004,10.0,1000,80,100,5,double_bridge,80,
4,100,8.039041891411866,8.11066664828782,0.8909613588712784,0.27570462226867676,10.0,1000,80,100,5,double_bridge,80,
5,100,7.729080940975604,7.924435690659798,2.5275288378534544,0.2512831687927246,10.0,1000,80,100,5,double_bridge,80,
6,100,7.448029800005175,7.645092940892153,2.6458425406251873,0.2707340717315674,10.0,1000,80,100,5,double_bridge,80,
7,100,7.282976372922648,7.292975450223435,0.1372938313786376,0.3021836280822754,10.0,1000,80,100,5,double_bridge,80,
8,100,7.572886154350231,7.6076751881537374,0.4593893674675442,0.19742536544799805,10.0,1000,80,100,5,double_bridge,80,
9,100,7.641729279764908,7.757689545525203,1.5174610551482726,0.17204761505126953,10.0,1000,80,100,5,double_bridge,80,
10,100,7.6398982982375525,7.65462606321476,0.19277435905926676,0.15651535987854004,10.0,1000,80,100,5,double_bridge,80,
11,100,7.344471691663174,7.368729972777344,0.33029307120491236,0.23140668869018555,10.0,1000,80,100,5,double_bridge,80,
12,100,7.818692751086347,8.020692061974891,2.583543276597977,0.13337397575378418,10.0,1000,80,100,5,double_bridge,80,
13,100,7.702289929346654,7.821589514886101,1.548884638643644,0.17667531967163086,10.0,1000,80,100,5,double_bridge,80,
14,100,7.57775473204889,7.578198600459243,0.005857518830421071,0.19970965385437012,10.0,1000,80,100,5,double_bridge,80,
15,100,7.658484011186273,7.727875564160744,0.9060742683945744,0.27202749252319336,10.0,1000,80,100,5,double_bridge,80,
16,100,7.860033952024719,7.927372447243735,0.8567201570633065,0.2626833915710449,10.0,1000,80,100,5,double_bridge,80,
17,100,7.424606329216049,7.459313002996388,0.4674547341825708,0.18650126457214355,10.0,1000,80,100,5,double_bridge,80,
18,100,8.044463418847316,8.123266595918482,0.9795951944605585,0.23398041725158691,10.0,1000,80,100,5,double_bridge,80,
19,100,7.958255285008137,7.970050384810043,0.1482121316731977,0.2565486431121826,10.0,1000,80,100,5,double_bridge,80,
20,100,7.72672135324206,7.819851072422603,1.2052941334744327,0.21068596839904785,10.0,1000,80,100,5,double_bridge,80,
21,100,7.571471349116092,7.603260799168189,0.41985828891510923,0.15180444717407227,10.0,1000,80,100,5,double_bridge,80,
22,100,7.766638935783451,7.876626485573114,1.4161537661151469,0.12775301933288574,10.0,1000,80,100,5,double_bridge,80,
23,100,7.803825380095805,8.042084570389436,3.0531076579612737,0.1487123966217041,10.0,1000,80,100,5,double_bridge,80,
24,100,7.758951622483159,7.824040541507494,0.8388880636364116,0.29895639419555664,10.0,1000,80,100,5,double_bridge,80,
25,100,7.364361701124892,7.387758883739117,0.3177082218904559,0.16557693481445312,10.0,1000,80,100,5,double_bridge,80,
