idx,N,opt_cost,sol_cost_est,gap_percent,time_s,time_limit_s,loop_max,max_no_improve,k,top_k,perturb,perturb_interval,error
0,280,2579.0,2737.9999999999995,6.1651803024427965,1.1174781322479248,10.0,1000,80,100,5,double_bridge,80,
1,48,10628.0,10653.0,0.235227700413998,0.06473875045776367,10.0,1000,80,100,5,double_bridge,80,
2,52,7542.0,7542.0,0.0,0.05951571464538574,10.0,1000,80,100,5,double_bridge,80,
3,127,118282.0,118771.0,0.41341877885054945,0.2063157558441162,10.0,1000,80,100,5,double_bridge,80,
4,14,3323.0,3323.0,0.0,0.021831750869750977,10.0,1000,80,100,5,double_bridge,80,
5,130,6110.0,6143.999999999999,0.5564648117839521,0.40754151344299316,10.0,1000,80,100,5,double_bridge,80,
6,150,6528.0,6671.0,2.190563725490202,0.26721620559692383,10.0,1000,80,100,5,double_bridge,80,
7,198,15780.0,15823.000000000002,0.2724968314322007,1.020522117614746,10.0,1000,80,100,5,double_bridge,80,
8,51,426.0,426.99999999999994,0.23474178403755097,0.12203359603881836,10.0,1000,80,100,5,double_bridge,80,
9,76,538.0,539.0,0.18587360594795044,0.15513968467712402,10.0,1000,80,100,5,double_bridge,80,
10,262,2378.0,2474.0,4.037005887300249,0.84513258934021,10.0,1000,80,100,5,double_bridge,80,
11,137,69853.0,71522.0,2.389303251113062,0.8432011604309082,10.0,1000,80,100,5,double_bridge,80,
12,202,40160.0,41456.0,3.227091633466128,0.6060771942138672,10.0,1000,80,100,5,double_bridge,80,
13,229,134602.0,138107.0,2.603973195049103,0.656083345413208,10.0,1000,80,100,5,double_bridge,80,
14,431,171414.0,175090.00000000003,2.1445156171608026,3.597529172897339,10.0,1000,80,100,5,double_bridge,80,
15,96,55209.0,56087.0,1.5903204187722952,0.3651103973388672,10.0,1000,80,100,5,double_bridge,80,
16,100,21282.0,21291.999999999996,0.04698806503147246,0.21027398109436035,10.0,1000,80,100,5,double_bridge,80,
17,150,26524.0,27368.999999999996,3.1857939978886973,0.8855781555175781,10.0,1000,80,100,5,double_bridge,80,
18,100,22141.0,22365.000000000004,1.0116977552956152,0.1550309658050537,10.0,1000,80,100,5,double_bridge,80,
19,150,26130.0,26777.000000000004,2.4760811327975585,0.4810943603515625,10.0,1000,80,100,5,double_bridge,80,
20,100,20749.0,21421.999999999996,3.2435298086654685,0.296039342880249,10.0,1000,80,100,5,double_bridge,80,
21,100,21294.0,21534.0,1.1270780501549726,0.15320920944213867,10.0,1000,80,100,5,double_bridge,80,
22,100,22068.0,22466.0,1.8035164038426643,0.16216468811035156,10.0,1000,80,100,5,double_bridge,80,
23,105,14379.0,14809.000000000002,2.9904722164267428,0.20825934410095215,10.0,1000,80,100,5,double_bridge,80,
24,318,42029.0,43439.0,3.3548264293701946,1.667145013809204,10.0,1000,80,100,5,double_bridge,80,
25,318,41345.0,43439.0,5.0646994799854905,1.6659748554229736,10.0,1000,80,100,5,double_bridge,80,
26,654,34643.0,35284.0,1.8503016482406265,5.476804256439209,10.0,1000,80,100,5,double_bridge,80,
27,442,50778.0,52709.0,3.80282799637639,2.0587425231933594,10.0,1000,80,100,5,double_bridge,80,
28,107,44303.0,44600.0,0.6703834954743471,0.2225792407989502,10.0,1000,80,100,5,double_bridge,80,
29,124,59030.0,60304.00000000001,2.158224631543293,0.2645540237426758,10.0,1000,80,100,5,double_bridge,80,
30,136,96772.0,100375.0,3.723184392179557,0.7724509239196777,10.0,1000,80,100,5,double_bridge,80,
31,144,58537.0,59286.0,1.279532603310729,0.244490385055542,10.0,1000,80,100,5,double_bridge,80,
32,152,73682.0,74175.0,0.6690915013164656,0.4927506446838379,10.0,1000,80,100,5,double_bridge,80,
33,76,108159.0,108159.0,0.0,0.1444988250732422,10.0,1000,80,100,5,double_bridge,80,
34,195,2323.0,2381.0,2.49677141627207,0.4529404640197754,10.0,1000,80,100,5,double_bridge,80,
35,100,7910.0,7910.0,0.0,0.17347335815429688,10.0,1000,80,100,5,double_bridge,80,
36,400,15281.0,15838.0,3.6450494077612694,1.471496343612671,10.0,1000,80,100,5,double_bridge,80,
37,70,675.0,679.9999999999999,0.7407407407407307,0.11817717552185059,10.0,1000,80,100,5,double_bridge,80,
38,159,42080.0,42324.00000000001,0.5798479087452568,0.4601724147796631,10.0,1000,80,100,5,double_bridge,80,
39,574,36905.0,39307.0,6.50860317030213,4.488886833190918,10.0,1000,80,100,5,double_bridge,80,
40,724,41910.0,44106.00000000001,5.239799570508241,5.615142583847046,10.0,1000,80,100,5,double_bridge,80,
41,16,6859.0,6859.0,0.0,0.023346900939941406,10.0,1000,80,100,5,double_bridge,80,
42,22,7013.0,7013.0,0.0,0.025890111923217773,10.0,1000,80,100,5,double_bridge,80,
