name,N,opt_cost
a280,280,2579.000000
att48,48,10628.000000
berlin52,52,7542.000000
bier127,127,118282.000000
burma14,14,3323.000000
ch130,130,6110.000000
ch150,150,6528.000000
d198,198,15780.000000
eil51,51,426.000000
eil76,76,538.000000
gil262,262,2378.000000
gr137,137,69853.000000
gr202,202,40160.000000
gr229,229,134602.000000
gr431,431,171414.000000
gr96,96,55209.000000
kroA100,100,21282.000000
kroA150,150,26524.000000
kroB100,100,22141.000000
kroB150,150,26130.000000
kroC100,100,20749.000000
kroD100,100,21294.000000
kroE100,100,22068.000000
lin105,105,14379.000000
lin318,318,42029.000000
linhp318,318,41345.000000
p654,654,34643.000000
pcb442,442,50778.000000
pr107,107,44303.000000
pr124,124,59030.000000
pr136,136,96772.000000
pr144,144,58537.000000
pr152,152,73682.000000
pr76,76,108159.000000
rat195,195,2323.000000
rd100,100,7910.000000
rd400,400,15281.000000
st70,70,675.000000
u159,159,42080.000000
u574,574,36905.000000
u724,724,41910.000000
ulysses16,16,6859.000000
ulysses22,22,7013.000000
